# taxonomy 	CSM9X23N	HSM6XRQY	HSM7J4NY	HSMA33KE	HSMA33OT	MSM6J2QD
k__Archaea	0	0	26.62931	0	0	0
k__Bacteria	100.0	100.0	73.37069	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	6.76299	2.84778	0	27.44129	6.94853	1.22901
k__Archaea|p__Euryarchaeota	0	0	26.62931	0	0	0
k__Bacteria|p__Fusobacteria	0	0.03684	0	0	0	0
k__Bacteria|p__Bacteroidetes	93.15998	96.81089	72.7713	70.10255	59.25508	98.77099
k__Bacteria|p__Actinobacteria	0.07703	0.0178	0.28033	0.30259	1.61322	0
k__Bacteria|p__Proteobacteria	0	0.28667	0.31907	2.15357	32.18316	0
k__Bacteria|p__Firmicutes|c__Clostridia	6.41301	2.53181	0	22.26909	6.94853	1.22901
k__Bacteria|p__Firmicutes|c__Negativicutes	0.09333	0.31597	0	0.70401	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	93.15998	96.81089	72.7713	70.10255	59.25508	98.77099
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	0	0.03684	0	0	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0	0	0	0.30655	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	0	0	26.62931	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0	0.0178	0	0.16874	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.07703	0	0.28033	0.13385	1.61322	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0	0	0.31907	1.80277	21.28858	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0	0	0	0.25758	0	0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	0.25664	0	0	4.16164	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	0	0.28667	0	0	1.17063	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	6.41301	2.53181	0	22.26909	6.94853	1.22901
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	93.15998	96.81089	72.7713	70.10255	59.25508	98.77099
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	0	0.26386	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	0	0	0	0.09322	9.72395	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	0	0.03684	0	0	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.09333	0.05211	0	0.70401	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0	0	0	0.13385	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	0	0	0	0.30655	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.07703	0	0.28033	0	1.61322	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0	0.0178	0	0.16874	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	0	0.00748	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0	0	0.31907	1.80277	21.28858	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales	0	0	26.62931	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0	0.27919	0	0	1.17063	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0	0	0	0.25758	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.03272	0	0	0	0.54669	0.95549
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	0.17585	0	0	4.3753	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	3.9635	1.00373	0	4.07365	3.1167	0.27351
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2.23028	1.51318	0	13.75273	3.22026	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.00606	0	32.53218	0.28364	10.8678	39.22075
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0	0.01295	0	0.10544	0	4.92203
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	89.54811	90.13049	17.80514	61.37608	41.73329	51.63003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	3.60581	6.66746	22.43398	7.04237	6.65399	2.99818
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	0.25664	0	0	4.16164	0	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0	0.26386	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	0	0	0	1.29389	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	0	0.01491	0	0	0.06488	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0	0	0	0.00114	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	0	0.03684	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	0	0	0	0.13385	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	0	0.05319	0	2.66616	1.13489	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	0.09333	0.05211	0	0.70401	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0.03474	0.60477	0	4.36045	0.07046	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	0.01066	0	0	0.06741	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	1.52724	0.33181	0	0.10187	1.6688	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	0.07703	0	0.28033	0	1.61322	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	0	0	0.31907	1.80277	21.28858	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella	0.03272	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Tyzzerella	0	0	0	0.00551	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0	0	0	0	0.54669	0.95549
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	0	0.00748	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium	0.17585	0	0	4.3753	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	0.08924	0.00226	0	0	0.047	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0	0.0178	0	0.16874	0	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	0	0	0	0.30655	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	0.00606	0	32.53218	0.28364	10.8678	39.22075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0.33531	0	2.6771	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	0	0	0	0.09322	9.72395	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum	0	0	0	0.50371	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus	0.21873	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	0	0.01295	0	0.10544	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus	0.01004	0	0	0.06686	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum	0	0.00141	0	0.01021	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella	0	0	0	0.11382	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	89.54811	90.13049	17.80514	61.37608	41.73329	51.63003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor	0.51176	0.67758	0	2.4181	0	0.27351
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella	0	0.08322	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0	0.27919	0	0	1.17063	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera	0	0.18064	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	0	0	0	1.29389	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium	0	0	0	0.48366	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	3.22296	0.32474	0	1.09119	3.1167	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	0.16193	0.01364	0	3.14306	0	0
