# Pathway	CSM9X23N_Abundance	HSM6XRQY_Abundance	HSM7J4NY_Abundance	HSMA33KE_Abundance	HSMA33OT_Abundance	MSM6J2QD_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0120141	0.0128154	0.023005	0.0103715	0.00895635	0.0155297
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0	0	0	9.96737e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	0	0	0	0.00016568	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000383122	0	0	0.000236374	5.14446e-05	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.000282248	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	0.00113425	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_faecis	0	0	0	0.000166621	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0.000489051	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	2.94725e-05	0.000505413	0	0.000351039	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.00049656	0	0.000201452	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.00013101	0.000909386	0	0.000260422	0.000122808	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0.00466623	0	0	0.000452327	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.000699519	0.000262875	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.00154053	0	0	0.000611937	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis_CAG_3	0.00167057	0	0	0.000162394	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	0.00177515	0.00216875	0	0.0015	0.000943967	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus_CAG_6	0.00149233	0.00203072	0	0.00136308	0.000870485	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_xylanisolvens	2.1213e-05	0	0	0.000405551	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Blautia.s__Ruminococcus_torques	0	7.60797e-05	0	0.000911635	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	4.9426e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Eubacterium.s__Eubacterium_hallii	0	0	0	6.24173e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Eubacterium.s__Eubacterium_hallii_CAG_12	0	0	0	0.000103663	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Eubacterium.s__Eubacterium_ventriosum	0	0	0	6.31999e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Flavonifractor.s__Flavonifractor_plautii	0	9.03103e-05	0	0.000118368	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0	0	0	0.000134525	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis	0.000310657	0	0	9.46904e-05	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	0	0.000669543	0	0.000237402	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Roseburia.s__Roseburia_faecis	0.000166663	0	0	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Roseburia.s__Roseburia_sp_CAG_471	0	0	0	0.000106045	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|unclassified	0	0	0	0.000690686	0.00083147	0
ANAEROFRUCAT-PWY: homolactic fermentation	0.00417238	0.00221247	0	0.0063922	0.00841886	0
ANAEROFRUCAT-PWY: homolactic fermentation|unclassified	0	8.03566e-05	0	0.000520693	0.0023027	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0102279	0.00949922	0.0501175	0.00961183	0.030276	0.0291889
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis	8.89355e-06	0.000650952	0	0.00029352	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Bacteroides.s__Bacteroides_fragilis_CAG_47	0	0.000444451	0	0.000146225	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Dorea.s__Dorea_longicatena	0	0	0	2.46277e-05	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Dorea.s__Dorea_longicatena_CAG_42	0	0	0	6.33205e-05	0	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|g__Parabacteroides.s__Parabacteroides_distasonis	0.000403914	0	0	0.000149556	0.000893735	0
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)|unclassified	0.000161326	0.000159851	0	0.000705792	0.00452068	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.000289566	0.000423225	0	0.000587084	0.00118324	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified	0.000199863	0.000123944	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.00971326	0.0107197	0	0.00646062	0.0047465	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0.000412124	0	0	0.000238505	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_dorei	0.000345034	0	0	0	0	0
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Bacteroides.s__Bacteroides_eggerthii	0.000914917	0	0	0	0.000102687	0
